country,date,movility_reduction,deaths,pop,pct,movility_in_t_minus_23
Ireland,2020-04-23,26.571428571428573,794,6378000,0.032509752925877766,24.857142857142858
Ireland,2020-04-24,26.285714285714285,1014,6378000,0.2770780856423174,25.857142857142858
Ireland,2020-04-25,25.857142857142858,1063,6378000,0.04832347140039439,27.0
Ireland,2020-04-26,25.714285714285715,1087,6378000,0.022577610536218318,28.142857142857142
Ireland,2020-04-27,25.571428571428573,1102,6378000,0.013799448022079108,28.285714285714285
Ireland,2020-04-28,25.0,1159,6378000,0.051724137931034475,28.428571428571427
Ireland,2020-04-29,25.142857142857142,1190,6378000,0.026747195858498607,28.428571428571427
Ireland,2020-04-30,25.142857142857142,1232,6378000,0.03529411764705892,28.142857142857142
Ireland,2020-05-01,25.142857142857142,1265,6378000,0.02678571428571419,27.857142857142858
Ireland,2020-05-02,25.142857142857142,1286,6378000,0.016600790513833896,27.571428571428573
Israel,2020-02-15,-3.0,0,8268400,,
Israel,2020-02-16,-1.5,0,8268400,,
Israel,2020-02-17,-1.0,0,8268400,,
Israel,2020-02-18,-0.75,0,8268400,,
Israel,2020-02-19,-0.4,0,8268400,,
Israel,2020-02-20,-0.3333333333333333,0,8268400,,
Israel,2020-02-21,-0.42857142857142855,0,8268400,,
Israel,2020-02-22,0.14285714285714285,0,8268400,,
Israel,2020-02-23,0.14285714285714285,0,8268400,,
Israel,2020-02-24,0.2857142857142857,0,8268400,,
Israel,2020-02-25,0.42857142857142855,0,8268400,,
Israel,2020-02-26,0.14285714285714285,0,8268400,,
Israel,2020-02-27,0.0,0,8268400,,
Israel,2020-02-28,-0.14285714285714285,0,8268400,,
Israel,2020-02-29,-0.2857142857142857,0,8268400,,
Israel,2020-03-01,-0.42857142857142855,0,8268400,,
Israel,2020-03-02,1.2857142857142858,0,8268400,,
Israel,2020-03-03,1.1428571428571428,0,8268400,,
Israel,2020-03-04,1.1428571428571428,0,8268400,,
Israel,2020-03-05,1.2857142857142858,0,8268400,,
Israel,2020-03-06,1.8571428571428572,0,8268400,,
Israel,2020-03-07,1.8571428571428572,0,8268400,,
Israel,2020-03-08,2.142857142857143,0,8268400,,
Israel,2020-03-09,1.0,0,8268400,,-3.0
Israel,2020-03-10,2.142857142857143,0,8268400,,-1.5
Israel,2020-03-11,3.0,0,8268400,,-1.0
Israel,2020-03-12,3.857142857142857,0,8268400,,-0.75
Israel,2020-03-13,4.714285714285714,0,8268400,,-0.4
Israel,2020-03-14,5.571428571428571,0,8268400,,-0.3333333333333333
Israel,2020-03-15,7.571428571428571,0,8268400,,-0.42857142857142855
Israel,2020-03-16,9.285714285714286,0,8268400,,0.14285714285714285
Israel,2020-03-17,11.285714285714286,0,8268400,,0.14285714285714285
Israel,2020-03-18,14.285714285714286,0,8268400,,0.2857142857142857
Israel,2020-03-19,17.571428571428573,0,8268400,,0.42857142857142855
Israel,2020-03-20,19.142857142857142,0,8268400,,0.14285714285714285
Israel,2020-03-21,20.571428571428573,1,8268400,inf,0.0
Israel,2020-03-22,22.285714285714285,1,8268400,0.0,-0.14285714285714285
Israel,2020-03-23,23.857142857142858,1,8268400,0.0,-0.2857142857142857
Israel,2020-03-24,24.714285714285715,3,8268400,2.0,-0.42857142857142855
Israel,2020-03-25,25.142857142857142,5,8268400,0.6666666666666667,1.2857142857142858
Israel,2020-03-26,25.714285714285715,8,8268400,0.6000000000000001,1.1428571428571428
Israel,2020-03-27,25.857142857142858,12,8268400,0.5,1.1428571428571428
Israel,2020-03-28,26.0,12,8268400,0.0,1.2857142857142858
Israel,2020-03-29,26.428571428571427,15,8268400,0.25,1.8571428571428572
Israel,2020-03-30,26.857142857142858,16,8268400,0.06666666666666665,1.8571428571428572
Israel,2020-03-31,27.285714285714285,20,8268400,0.25,2.142857142857143
Israel,2020-04-01,27.571428571428573,26,8268400,0.30000000000000004,1.0
Israel,2020-04-02,27.428571428571427,36,8268400,0.3846153846153846,2.142857142857143
Israel,2020-04-03,27.285714285714285,40,8268400,0.11111111111111116,3.0
Israel,2020-04-04,27.142857142857142,44,8268400,0.10000000000000009,3.857142857142857
Israel,2020-04-05,27.142857142857142,49,8268400,0.11363636363636354,4.714285714285714
Israel,2020-04-06,26.857142857142858,57,8268400,0.16326530612244894,5.571428571428571
Israel,2020-04-07,26.571428571428573,65,8268400,0.14035087719298245,7.571428571428571
Israel,2020-04-08,27.714285714285715,73,8268400,0.12307692307692308,9.285714285714286
Israel,2020-04-09,29.0,86,8268400,0.17808219178082196,11.285714285714286
Israel,2020-04-10,29.285714285714285,95,8268400,0.10465116279069764,14.285714285714286
Israel,2020-04-11,29.285714285714285,101,8268400,0.06315789473684208,17.571428571428573
Israel,2020-04-12,29.571428571428573,103,8268400,0.01980198019801982,19.142857142857142
Israel,2020-04-13,30.0,116,8268400,0.12621359223300965,20.571428571428573
Israel,2020-04-14,30.857142857142858,123,8268400,0.06034482758620685,22.285714285714285
Israel,2020-04-15,30.714285714285715,130,8268400,0.05691056910569103,23.857142857142858
Israel,2020-04-16,29.285714285714285,142,8268400,0.0923076923076922,24.714285714285715
Israel,2020-04-17,28.857142857142858,151,8268400,0.06338028169014076,25.142857142857142
Israel,2020-04-18,28.571428571428573,164,8268400,0.08609271523178808,25.714285714285715
Israel,2020-04-19,27.714285714285715,172,8268400,0.04878048780487809,25.857142857142858
Israel,2020-04-20,27.0,177,8268400,0.029069767441860517,26.0
Israel,2020-04-21,25.714285714285715,184,8268400,0.039548022598870025,26.428571428571427
Israel,2020-04-22,24.0,189,8268400,0.02717391304347827,26.857142857142858
Israel,2020-04-23,23.428571428571427,192,8268400,0.015873015873015817,27.285714285714285
Israel,2020-04-24,23.142857142857142,194,8268400,0.01041666666666674,27.571428571428573
Israel,2020-04-25,23.142857142857142,199,8268400,0.025773195876288568,27.428571428571427
Israel,2020-04-26,22.714285714285715,201,8268400,0.01005025125628145,27.285714285714285
Israel,2020-04-27,22.428571428571427,204,8268400,0.014925373134328401,27.142857142857142
Israel,2020-04-28,22.857142857142858,210,8268400,0.02941176470588225,27.142857142857142
Israel,2020-04-29,25.0,215,8268400,0.023809523809523725,26.857142857142858
Israel,2020-04-30,24.571428571428573,222,8268400,0.032558139534883734,26.571428571428573
Israel,2020-05-01,24.142857142857142,225,8268400,0.013513513513513598,27.714285714285715
Israel,2020-05-02,23.571428571428573,229,8268400,0.01777777777777767,29.0
India,2020-02-15,0.0,0,1263930000,,
India,2020-02-16,0.0,0,1263930000,,
India,2020-02-17,0.0,0,1263930000,,
India,2020-02-18,0.0,0,1263930000,,
India,2020-02-19,0.2,0,1263930000,,
India,2020-02-20,0.0,0,1263930000,,
India,2020-02-21,0.7142857142857143,0,1263930000,,
India,2020-02-22,0.8571428571428571,0,1263930000,,
India,2020-02-23,1.0,0,1263930000,,
